"Geographic name","Incompletely enumerated Indian reserves and Indian settlements","Population","Total private dwellings","Private dwellings occupied by usual residents"
M4A,,14176,6184,5911
M4B,,17866,7840,7265
M4C,,45585,20081,18910
M4E,,23728,11071,10384
M4G,,16452,7175,6848
M4H,,17437,6438,6153
M4J,,35164,15442,14629
M4K,,31747,14914,14257
M4L,,31448,14392,13529
M4M,,21817,8968,8447
M4N,,15044,6381,5999
M4P,,16800,10581,10111
M4R,,10822,5218,4892
M4S,,22417,12447,11901
M4T,,9908,5285,5008
M4V,,16608,9706,8989
M4W,,13992,7606,6952
M4X,,20105,10045,9505
M4Y,,21994,15434,14409
M5A,,34148,17588,16562
M5B,,9697,6202,5601
M5C,,2172,1328,1225
M5E,,3930,2607,2426
M5G,,4354,2795,2297
M5H,,487,390,300
M5J,,7601,5221,4579
M5K,,5,3,3
M5L,,5,4,4
M5M,,24364,9746,9312
M5N,,15956,6819,6491
M5P,,18167,9305,8598
M5R,,23865,14336,12942
M5S,,13220,7584,6438
M5T,,17289,8478,7732
M5V,,15763,10555,9403
M5W,,5,1,1
M5X,,5,2,2
M6A,,19203,7897,7491
M6B,,28769,11668,11015
M6C,,23792,10572,9987
M6E,,38967,15682,14535
M6G,,31977,14164,13149
M6H,,44160,18937,17391
M6J,,28744,13027,11859
M6K,,33175,16531,15368
M6L,,21042,7791,7441
M6M,,40848,15688,14679
M6N,,41628,16573,15593
M6P,,36914,18308,17115
M6R,,19077,8953,8274
M6S,,29387,12914,12350
M7A,,5,4,4
M7Y,,5,3,3
M8V,,31501,16726,15386
M8W,,19756,8755,8257
M8X,,9816,4244,3985
M8Y,,18515,8587,8161
M8Z,,13245,5536,5266
M9A,,31362,13107,12574
M9B,,28197,10859,10493
M9C,,35229,13677,13261
M9L,,12393,3953,3727
M9M,,19468,6608,6186
M9N,,23799,10551,9585
M9P,,20324,8168,7847
M9R,,32092,12180,11563
M9V,,55159,17145,15980
M9W,,39352,13116,12439
N0A,,28644,12546,10891
N0B,,71200,24600,23754
N0C,,15973,7843,6078
N0E,,33999,13822,12220
N0G,,82781,34175,30365
N0H,,45611,30298,18651
N0J,,30623,10702,10317
N0K,,24062,8754,8309
N0L,,47169,17441,16860
N0M,,64962,28678,24486
N0N,,40975,17074,15243
N0P,,56299,23503,21455
N0R,,43436,16935,15362
N1A,,12126,5157,4545
N1C,,3828,1186,1163
N1E,,32040,13344,12824
N1G,,26389,11522,9996
N1H,,43869,19289,18278
N1K,,8221,2432,2367
N1L,,7469,2580,2409
N1M,,14969,5969,5506
N1P,,5772,1766,1758
N1R,,40937,16233,15583
N1S,,19460,7467,7265
N1T,,14518,4251,4181
N2A,,23760,8954,8669
N2B,,17224,7163,6987
N2C,,13584,6207,5863
N2E,,34152,11969,11616
N2G,,13043,6836,6392
N2H,,20851,10500,9920
N2J,,17640,9175,8090
N2K,,25801,8922,8747
N2L,,27102,13853,11406
N2M,,33162,14449,13876
N2N,,24773,7768,7637
N2P,,16069,6017,5703
N2R,,3973,1334,1245
N2T,,19052,6292,6176
N2V,,13482,4481,4350
N2Z,,10171,4687,4205
N3A,,12455,4699,4552
